1	NULL	_author_id	PHA1109004
1	NULL	_author	PHA1109004
1	NULL	_author_L1	Other
1	NULL	_author_age	3039
1	NULL	_author_gender	male
1	NULL	_rating_coherence	B2
1	NULL	_rating_coherence2	
1	NULL	_rating_fair_cefr	B2
1	NULL	_rating_fair_cefr_rough	B2
1	NULL	_rating_general_linguistic_range	B2
1	NULL	_rating_general_linguistic_range2	
1	NULL	_rating_grammatical_accuracy	B2
1	NULL	_rating_grammatical_accuracy2	
1	NULL	_rating_orthography	B1
1	NULL	_rating_orthography2	
1	NULL	_rating_sociolinguistic_appropriateness	0
1	NULL	_rating_sociolinguistic_appropriateness2	
1	NULL	_rating_vocabulary_control	B2
1	NULL	_rating_vocabulary_control2	
1	NULL	_rating_vocabulary_range	B2
1	NULL	_rating_vocabulary_range2	
1	NULL	_task_formality	
1	NULL	_task_id	B2PS0200_skola
1	NULL	_task_topic	napsat esej na tema Skola zaklad zivota
1	NULL	_task_topic_en	write an essay The school is the basis of the life
1	NULL	_task_type	2
1	NULL	_test_language	Czech
1	NULL	_test_level_cefr	B2
1	NULL	_text_type	essay
1	NULL	_task_versions	1
2	NULL	_author_id	0645
2	NULL	_author	0645
2	NULL	_author_L1	German
2	NULL	_author_age	not reported
2	NULL	_author_gender	male
2	NULL	_rating_coherence	B1
2	NULL	_rating_coherence2	
2	NULL	_rating_fair_cefr	B1
2	NULL	_rating_fair_cefr_rough	B1
2	NULL	_rating_general_linguistic_range	B1
2	NULL	_rating_general_linguistic_range2	
2	NULL	_rating_grammatical_accuracy	B1
2	NULL	_rating_grammatical_accuracy2	
2	NULL	_rating_orthography	B2
2	NULL	_rating_orthography2	
2	NULL	_rating_sociolinguistic_appropriateness	B1
2	NULL	_rating_sociolinguistic_appropriateness2	
2	NULL	_rating_vocabulary_control	B1
2	NULL	_rating_vocabulary_control2	
2	NULL	_rating_vocabulary_range	B1
2	NULL	_rating_vocabulary_range2	
2	NULL	_task_formality	
2	NULL	_task_id	1_Alena
2	NULL	_task_topic	napsat odpoved' Alene na jeji email
2	NULL	_task_topic_en	answer to the email of Alena
2	NULL	_task_type	2
2	NULL	_test_language	Czech
2	NULL	_test_level_cefr	B1
2	NULL	_text_type	email
2	NULL	_task_versions	1
3	NULL	_author_id	BER0611003
3	NULL	_author	BER0611003
3	NULL	_author_L1	Other
3	NULL	_author_age	2029
3	NULL	_author_gender	female
3	NULL	_rating_coherence	B2
3	NULL	_rating_coherence2	
3	NULL	_rating_fair_cefr	B1+
3	NULL	_rating_fair_cefr_rough	B1
3	NULL	_rating_general_linguistic_range	B1
3	NULL	_rating_general_linguistic_range2	
3	NULL	_rating_grammatical_accuracy	B1
3	NULL	_rating_grammatical_accuracy2	
3	NULL	_rating_orthography	B2
3	NULL	_rating_orthography2	
3	NULL	_rating_sociolinguistic_appropriateness	0
3	NULL	_rating_sociolinguistic_appropriateness2	
3	NULL	_rating_vocabulary_control	B1
3	NULL	_rating_vocabulary_control2	
3	NULL	_rating_vocabulary_range	B1
3	NULL	_rating_vocabulary_range2	
3	NULL	_task_formality	
3	NULL	_task_id	B2PS0202_kolace
3	NULL	_task_topic	napsat esej na tema Bez prace nejsou kolace
3	NULL	_task_topic_en	write an essay No pain no gain
3	NULL	_task_type	2
3	NULL	_test_language	Czech
3	NULL	_test_level_cefr	B2
3	NULL	_text_type	essay
3	NULL	_task_versions	1
4	NULL	_author_id	PHA0411039
4	NULL	_author	PHA0411039
4	NULL	_author_L1	Polish
4	NULL	_author_age	3039
4	NULL	_author_gender	female
4	NULL	_rating_coherence	B2
4	NULL	_rating_coherence2	B1
4	NULL	_rating_fair_cefr	B1+
4	NULL	_rating_fair_cefr_rough	B1
4	NULL	_rating_general_linguistic_range	B2
4	NULL	_rating_general_linguistic_range2	B2
4	NULL	_rating_grammatical_accuracy	B1
4	NULL	_rating_grammatical_accuracy2	B1
4	NULL	_rating_orthography	B1
4	NULL	_rating_orthography2	B1
4	NULL	_rating_sociolinguistic_appropriateness	0
